_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d382dbeb44780d54d9455,1,93,21.182795698924732,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9456,1,94,21.180851063829788,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9457,1,95,21.063157894736843,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9458,1,96,20.979166666666668,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9459,1,97,21.051546391752577,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d945a,1,98,21.010204081632654,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d945b,1,99,20.939393939393938,74,0.01,0.9,90.0,40,10000
647d382ebeb44780d54d945c,1,100,20.87,74,0.01,0.9,90.0,40,10000
647d3f81bf13ef8b3e14eb59,2,1,8,8,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb5a,2,2,23.5,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb5b,2,3,20.666666666666668,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb5c,2,4,22.25,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb5d,2,5,23.6,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb5e,2,6,21.166666666666668,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb5f,2,7,22.857142857142858,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb60,2,8,22,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb61,2,9,21.22222222222222,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb62,2,10,20.8,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb63,2,11,19.818181818181817,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb64,2,12,20.25,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb65,2,13,19.46153846153846,39,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb66,2,14,22.642857142857142,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb67,2,15,23.133333333333333,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb68,2,16,23.25,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb69,2,17,22.470588235294116,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb6a,2,18,22.5,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb6b,2,19,21.789473684210527,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb6c,2,20,21.7,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb6d,2,21,22.047619047619047,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb6e,2,22,22.09090909090909,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb6f,2,23,21.695652173913043,64,0.01,0.9,95.0,40,10000
